risk_flag_id,opportunity_id,risk_type,risk_description,severity,is_active,created_date
r_opp_023_stale_stage,opp_023,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_023_no_next_step,opp_023,no_next_step,no_next_step,medium,True,2026-06-24
r_opp_023_close_date_slippage,opp_023,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_023_high_value_exposure,opp_023,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_024_stale_stage,opp_024,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_024_close_date_slippage,opp_024,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_025_stale_stage,opp_025,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_025_close_date_slippage,opp_025,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_025_high_value_exposure,opp_025,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_026_stale_stage,opp_026,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_027_close_date_slippage,opp_027,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_028_stale_stage,opp_028,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_029_close_date_slippage,opp_029,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_030_close_date_slippage,opp_030,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_031_stale_stage,opp_031,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_031_close_date_slippage,opp_031,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_031_high_value_exposure,opp_031,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_032_stale_stage,opp_032,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_033_stale_stage,opp_033,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_033_close_date_slippage,opp_033,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_033_high_value_exposure,opp_033,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_034_stale_stage,opp_034,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_035_stale_stage,opp_035,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_035_no_next_step,opp_035,no_next_step,no_next_step,medium,True,2026-06-24
r_opp_035_close_date_slippage,opp_035,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_035_high_value_exposure,opp_035,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_037_stale_stage,opp_037,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_037_close_date_slippage,opp_037,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_038_close_date_slippage,opp_038,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_039_stale_stage,opp_039,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_040_high_value_exposure,opp_040,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_041_stale_stage,opp_041,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_041_high_value_exposure,opp_041,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_042_stale_stage,opp_042,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_043_close_date_slippage,opp_043,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_044_stale_stage,opp_044,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_044_high_value_exposure,opp_044,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_045_close_date_slippage,opp_045,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_047_stale_stage,opp_047,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_047_high_value_exposure,opp_047,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_048_close_date_slippage,opp_048,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_049_high_value_exposure,opp_049,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_052_stale_stage,opp_052,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_052_high_value_exposure,opp_052,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_053_stale_stage,opp_053,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_053_no_next_step,opp_053,no_next_step,no_next_step,medium,True,2026-06-24
r_opp_053_close_date_slippage,opp_053,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_053_high_value_exposure,opp_053,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_056_high_value_exposure,opp_056,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_058_stale_stage,opp_058,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_059_stale_stage,opp_059,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_059_no_next_step,opp_059,no_next_step,no_next_step,medium,True,2026-06-24
r_opp_059_close_date_slippage,opp_059,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_059_high_value_exposure,opp_059,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_059_commit_hygiene,opp_059,commit_hygiene,commit_hygiene,high,True,2026-06-24
r_opp_060_close_date_slippage,opp_060,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_061_close_date_slippage,opp_061,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_063_close_date_slippage,opp_063,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_064_stale_stage,opp_064,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_064_close_date_slippage,opp_064,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_065_stale_stage,opp_065,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_066_stale_stage,opp_066,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_066_close_date_slippage,opp_066,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_066_high_value_exposure,opp_066,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_067_close_date_slippage,opp_067,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_068_stale_stage,opp_068,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_069_close_date_slippage,opp_069,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_070_close_date_slippage,opp_070,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_071_close_date_slippage,opp_071,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_071_high_value_exposure,opp_071,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_074_close_date_slippage,opp_074,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_076_stale_stage,opp_076,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_078_close_date_slippage,opp_078,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_081_stale_stage,opp_081,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_083_close_date_slippage,opp_083,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_084_stale_stage,opp_084,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_084_close_date_slippage,opp_084,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_085_stale_stage,opp_085,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_085_high_value_exposure,opp_085,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_087_stale_stage,opp_087,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_087_high_value_exposure,opp_087,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_088_close_date_slippage,opp_088,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_089_stale_stage,opp_089,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_090_stale_stage,opp_090,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_092_stale_stage,opp_092,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_093_stale_stage,opp_093,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_093_close_date_slippage,opp_093,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_095_stale_stage,opp_095,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_095_close_date_slippage,opp_095,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_097_close_date_slippage,opp_097,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_097_high_value_exposure,opp_097,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_098_stale_stage,opp_098,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_099_close_date_slippage,opp_099,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_100_close_date_slippage,opp_100,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_101_high_value_exposure,opp_101,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_102_close_date_slippage,opp_102,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_103_close_date_slippage,opp_103,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_103_high_value_exposure,opp_103,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_105_stale_stage,opp_105,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_105_high_value_exposure,opp_105,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_107_close_date_slippage,opp_107,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_109_stale_stage,opp_109,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_111_close_date_slippage,opp_111,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_112_high_value_exposure,opp_112,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_113_stale_stage,opp_113,stale_stage,stale_stage,medium,True,2026-06-24
r_opp_113_high_value_exposure,opp_113,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_114_close_date_slippage,opp_114,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_115_close_date_slippage,opp_115,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_116_high_value_exposure,opp_116,high_value_exposure,high_value_exposure,high,True,2026-06-24
r_opp_118_close_date_slippage,opp_118,close_date_slippage,close_date_slippage,medium,True,2026-06-24
r_opp_120_stale_stage,opp_120,stale_stage,stale_stage,medium,True,2026-06-24
